"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009615","GO:0009615","response to virus","19/171","404/23189",0.047029702970297,6.37761276127613,9.39834968913903,1.73064023495649e-10,3.09063902700141e-07,2.72842857282135e-07,"Oas1g/Oas1a/Isg15/Irf7/Rtp4/Mx2/Rigi/Trim12a/Trim12c/Ifit3/Ifitm3/Gbp7/Stat1/Tgfb1/Lgals9/Trim34a/Irgm1/Uap1/Bcl2l1",19
"GO:0035456","GO:0035456","response to interferon-beta","10/171","76/23189",0.131578947368421,17.8431825176978,12.6764806984131,2.28994180699783e-10,3.09063902700141e-07,2.72842857282135e-07,"Tgtp2/Xaf1/Oas1g/Oas1a/Gbp3/Ifit3/Ifitm3/Gbp7/Stat1/Irgm1",10
"GO:0051607","GO:0051607","defense response to virus","17/171","325/23189",0.0523076923076923,7.09335132703554,9.53493423840641,3.2949243358224e-10,3.09063902700141e-07,2.72842857282135e-07,"Oas1g/Oas1a/Isg15/Irf7/Rtp4/Mx2/Rigi/Trim12a/Trim12c/Ifit3/Ifitm3/Gbp7/Stat1/Trim34a/Irgm1/Uap1/Bcl2l1",17
"GO:0035458","GO:0035458","cellular response to interferon-beta","8/171","67/23189",0.119402985074627,16.1920223444183,10.7333724963655,3.3419801265981e-08,2.35108301906176e-05,2.07554555230829e-05,"Tgtp2/Oas1g/Oas1a/Gbp3/Ifit3/Gbp7/Stat1/Irgm1",8
"GO:0032479","GO:0032479","regulation of type I interferon production","10/171","139/23189",0.0719424460431655,9.75598468593546,8.92427278567603,8.57954792106781e-08,4.82856956997697e-05,4.26268065130948e-05,"Xaf1/Oas1g/Oas1a/Isg15/Irf7/Rigi/Gbp7/Stat1/Irgm1/Uap1",10
"GO:0032606","GO:0032606","type I interferon production","10/171","143/23189",0.0699300699300699,9.4830900094058,8.77041660250566,1.12154399513475e-07,5.26004133718196e-05,4.64358566406667e-05,"Xaf1/Oas1g/Oas1a/Isg15/Irf7/Rigi/Gbp7/Stat1/Irgm1/Uap1",10
"GO:0048525","GO:0048525","negative regulation of viral process","9/171","114/23189",0.0789473684210526,10.7059095106187,8.95393045736416,1.74376781408579e-07,6.90628834039688e-05,6.09689914462897e-05,"Oas1g/Oas1a/Isg15/Mx2/Trim12a/Trim12c/Ifitm3/Stat1/Hmga2",9
"GO:0050792","GO:0050792","regulation of viral process","11/171","192/23189",0.0572916666666667,7.7692190545809,8.11800843416268,1.9634081991178e-07,6.90628834039688e-05,6.09689914462897e-05,"Oas1g/Oas1a/Isg15/Mx2/Trim12a/Trim12c/Ifitm3/Gbp7/Stat1/Hmga2/Trim34a",11
"GO:1903900","GO:1903900","regulation of viral life cycle","10/171","161/23189",0.062111801242236,8.42286876611819,8.14615216629992,3.3983581140001e-07,0.000106255330364403,9.38026333221081e-05,"Oas1g/Oas1a/Isg15/Mx2/Trim12a/Trim12c/Ifitm3/Gbp7/Hmga2/Trim34a",10
"GO:0019058","GO:0019058","viral life cycle","12/171","277/23189",0.0433212996389892,5.87472290835392,7.03484003918967,1.08585972050866e-06,0.000305560925351138,0.000269750414778994,"Oas1g/Oas1a/Isg15/Mx2/Trim12a/Itgb3/Trim12c/Ifitm3/Gbp7/Ctsb/Hmga2/Trim34a",12
"GO:0016032","GO:0016032","viral process","13/171","357/23189",0.0364145658263305,4.93811325699871,6.4631798374236,2.65224464020094e-06,0.000678492401593222,0.000598975823050164,"Oas1g/Oas1a/Isg15/Mx2/Trim12a/Itgb3/Trim12c/Ifitm3/Gbp7/Stat1/Ctsb/Hmga2/Trim34a",13
"GO:0032481","GO:0032481","positive regulation of type I interferon production","7/171","89/23189",0.0786516853932584,10.665812471253,7.87450542605766,4.3455981478646e-06,0.00101904276567425,0.00089961505517197,"Oas1g/Oas1a/Isg15/Irf7/Rigi/Stat1/Uap1",7
"GO:0060759","GO:0060759","regulation of response to cytokine stimulus","9/171","171/23189",0.0526315789473684,7.1372730070791,6.94281532059768,5.22921023874185e-06,0.00113192289321689,0.000999266086107755,"Oas1g/Oas1a/Isg15/Irf7/Rigi/Sphk1/Ecm1/Naip2/Irgm1",9
"GO:0045071","GO:0045071","negative regulation of viral genome replication","6/171","64/23189",0.09375,12.7132675438596,8.08766376401625,7.74892116758417e-06,0.00154837029316384,0.00136690752697664,"Oas1g/Oas1a/Isg15/Mx2/Ifitm3/Hmga2",6
"GO:0045069","GO:0045069","regulation of viral genome replication","7/171","98/23189",0.0714285714285714,9.68629908103592,7.42715271794251,8.25357299127845e-06,0.00154837029316384,0.00136690752697664,"Oas1g/Oas1a/Isg15/Mx2/Ifitm3/Gbp7/Hmga2",7
"GO:0034340","GO:0034340","response to type I interferon","7/171","99/23189",0.0707070707070707,9.58845767617697,7.38102572238949,8.82691583595928e-06,0.00155243382264934,0.0013704948271621,"Oas1g/Oas1a/Isg15/Irf7/Mx2/Ifitm3/Stat1",7
"GO:1904018","GO:1904018","positive regulation of vasculature development","9/171","187/23189",0.0481283422459893,6.52659724176752,6.54021051948587,1.07773831392294e-05,0.0017839738913995,0.0015748993318007,"Lgals3/Angpt4/Sphk1/Ecm1/Itgb3/Cela1/Tgfb1/Hmga2/Rapgef3",9
"GO:0006949","GO:0006949","syncytium formation","6/171","72/23189",0.0833333333333333,11.3006822612086,7.54505501614142,1.53809232837571e-05,0.00240455100669402,0.00212274730699805,"Dock2/Stat1/Cd109/Rapgef3/Nfatc2/Ccng1",6
"GO:0140888","GO:0140888","interferon-mediated signaling pathway","7/171","111/23189",0.0630630630630631,8.55186765713081,6.8740499503989,1.87010527580169e-05,0.00267199363991472,0.00235884674005863,"Oas1g/Oas1a/Isg15/Irf7/Ifitm3/Stat1/Irgm1",7
"GO:0045088","GO:0045088","regulation of innate immune response","14/171","494/23189",0.0283400809716599,3.84314700381182,5.50545990860708,1.8990715280133e-05,0.00267199363991472,0.00235884674005863,"Oas1g/Oas1a/Isg15/Irf7/Rigi/Trim12a/Dusp10/Trim12c/Gbp3/Gbp7/Tgfb1/Lgals9/Irgm1/Pspc1",14
"GO:0072111","GO:0072111","cell proliferation involved in kidney development","4/171","23/23189",0.173913043478261,23.5840325451309,9.33976160622071,2.2657768340664e-05,0.00303614095764897,0.00268031745784296,"Egr1/Itgb3/Il6ra/Stat1",4
"GO:0001959","GO:0001959","regulation of cytokine-mediated signaling pathway","8/171","160/23189",0.05,6.78040935672515,6.32378294508496,2.55733376729636e-05,0.00327106237325998,0.0028877070291002,"Oas1g/Oas1a/Isg15/Irf7/Sphk1/Ecm1/Naip2/Irgm1",8
"GO:1901342","GO:1901342","regulation of vasculature development","11/171","326/23189",0.0337423312883436,4.57573637570409,5.60407053189186,3.20874240166651e-05,0.00392582657316938,0.00346573550019816,"Lgals3/Angpt4/Sphk1/Ecm1/Ppp1r16b/Itgb3/Stat1/Cela1/Tgfb1/Hmga2/Rapgef3",11
"GO:0051701","GO:0051701","biological process involved in interaction with host","8/171","167/23189",0.0479041916167665,6.49620058129355,6.14391491519052,3.47476546709956e-05,0.00407416251017424,0.00359668706243639,"Trim12a/Itgb3/Trim12c/Gbp3/Ifitm3/Gbp7/Ctsb/Trim34a",8
"GO:0061448","GO:0061448","connective tissue development","11/171","334/23189",0.032934131736527,4.46613789963932,5.49951468204913,3.99925987323724e-05,0.00437035821513732,0.00385816982296191,"Wnt9a/Matn3/Egr1/Ecm1/Itgb3/Il6ra/Tgfb1/Hmga2/Nfatc2/Slc39a14/Ccn2",11
"GO:0032728","GO:0032728","positive regulation of interferon-beta production","5/171","52/23189",0.0961538461538462,13.039248762933,7.49106292104486,4.03799977233725e-05,0.00437035821513732,0.00385816982296191,"Oas1g/Oas1a/Isg15/Irf7/Rigi",5
"GO:0032722","GO:0032722","positive regulation of chemokine production","6/171","86/23189",0.0697674418604651,9.46103631170951,6.77539319558278,4.25098476712513e-05,0.00443047079062597,0.00391123744655567,"Oas1g/Oas1a/Egr1/Il6ra/Tgfb1/Lgals9",6
"GO:1901724","GO:1901724","positive regulation of cell proliferation involved in kidney development","3/171","10/23189",0.3,40.6824561403509,10.8180031945749,4.55170267891708e-05,0.00457446119231167,0.00403835275272343,"Egr1/Itgb3/Il6ra",3
"GO:0019079","GO:0019079","viral genome replication","7/171","132/23189",0.053030303030303,7.19134325713273,6.14846006524844,5.70154532191892e-05,0.00553246501237236,0.00488408238102673,"Oas1g/Oas1a/Isg15/Mx2/Ifitm3/Gbp7/Hmga2",7
"GO:0060337","GO:0060337","type I interferon-mediated signaling pathway","6/171","92/23189",0.0652173913043478,8.8440122044241,6.49755995245354,6.21673958319624e-05,0.00564319522164975,0.00498183545546456,"Oas1g/Oas1a/Isg15/Irf7/Ifitm3/Stat1",6
"GO:0071357","GO:0071357","cellular response to type I interferon","6/171","92/23189",0.0652173913043478,8.8440122044241,6.49755995245354,6.21673958319624e-05,0.00564319522164975,0.00498183545546456,"Oas1g/Oas1a/Isg15/Irf7/Ifitm3/Stat1",6
"GO:0045766","GO:0045766","positive regulation of angiogenesis","8/171","184/23189",0.0434782608695652,5.89600813628274,5.7469290004611,6.89833209506738e-05,0.00606622078609988,0.00535528412643389,"Lgals3/Angpt4/Sphk1/Ecm1/Itgb3/Cela1/Hmga2/Rapgef3",8
"GO:0042692","GO:0042692","muscle cell differentiation","13/171","489/23189",0.0265848670756646,3.60512562934261,5.018409315147,7.27656618341719e-05,0.00620492643640484,0.00547773403281167,"Myom3/Dock2/Tnnt2/Nfatc1/Col14a1/Hdac9/Megf10/Speg/Tgfb1/Nfatc2/Myof/Bin3/Syne1",13
"GO:0072124","GO:0072124","regulation of glomerular mesangial cell proliferation","3/171","12/23189",0.25,33.9020467836257,9.82609223382941,8.25456253063016e-05,0.00683186440035096,0.00603119739080098,"Egr1/Itgb3/Il6ra",3
"GO:0043030","GO:0043030","regulation of macrophage activation","5/171","62/23189",0.0806451612903226,10.9361441237502,6.75227287865708,9.47406076183245e-05,0.00751817726800047,0.00663707715276292,"Mcub/Sphk1/Lgals9/Pla2g4a/Irgm1",5
"GO:0055001","GO:0055001","muscle cell development","9/171","248/23189",0.0362903225806452,4.92126485568761,5.35108381143127,9.79757764290984e-05,0.00751817726800047,0.00663707715276292,"Myom3/Tnnt2/Col14a1/Hdac9/Megf10/Speg/Nfatc2/Myof/Bin3",9
"GO:0043129","GO:0043129","surfactant homeostasis","4/171","33/23189",0.121212121212121,16.4373560163034,7.64881272399731,9.88530770845833e-05,0.00751817726800047,0.00663707715276292,"Oas1g/Oas1a/Tgfb1/Pla2g4a",4
"GO:0072110","GO:0072110","glomerular mesangial cell proliferation","3/171","13/23189",0.230769230769231,31.2941970310391,9.41689632167332,0.00010672790199608,0.00790348200570971,0.00697722572605952,"Egr1/Itgb3/Il6ra",3
"GO:0002832","GO:0002832","negative regulation of response to biotic stimulus","7/171","147/23189",0.0476190476190476,6.45753272069062,5.72124884311335,0.000112303634038858,0.00810313913295758,0.00715348384161145,"Oas1g/Oas1a/Isg15/Dusp10/Tgfb1/Lgals9/Irgm1",7
"GO:0140374","GO:0140374","antiviral innate immune response","5/171","66/23189",0.0757575757575758,10.2733475101896,6.50252935180009,0.000127774105294806,0.00898890830748958,0.00793544443409846,"Oas1g/Oas1a/Rigi/Ifit3/Uap1",5
"GO:0045765","GO:0045765","regulation of angiogenesis","10/171","319/23189",0.0313479623824451,4.25104034904398,5.03941967254467,0.000134986422743421,0.0092646778926826,0.00817889493387608,"Lgals3/Angpt4/Sphk1/Ecm1/Ppp1r16b/Itgb3/Stat1/Cela1/Hmga2/Rapgef3",10
"GO:0002218","GO:0002218","activation of innate immune response","10/171","322/23189",0.031055900621118,4.2114343830591,5.0017076195073,0.000145656749518811,0.00975900221776035,0.00861528643770412,"Oas1g/Oas1a/Irf7/Rigi/Trim12a/Trim12c/Gbp3/Gbp7/Irgm1/Pspc1",10
"GO:0070106","GO:0070106","interleukin-27-mediated signaling pathway","3/171","15/23189",0.2,27.1216374269006,8.72250914536906,0.000167960374295544,0.0105671016983118,0.00932867991172551,"Oas1g/Oas1a/Stat1",3
"GO:0000768","GO:0000768","syncytium formation by plasma membrane fusion","5/171","70/23189",0.0714285714285714,9.68629908103592,6.27328739817061,0.000168983502638248,0.0105671016983118,0.00932867991172551,"Dock2/Stat1/Cd109/Rapgef3/Nfatc2",5
"GO:0140253","GO:0140253","cell-cell fusion","5/171","70/23189",0.0714285714285714,9.68629908103592,6.27328739817061,0.000168983502638248,0.0105671016983118,0.00932867991172551,"Dock2/Stat1/Cd109/Rapgef3/Nfatc2",5
"GO:0032608","GO:0032608","interferon-beta production","5/171","72/23189",0.0694444444444444,9.41723521767381,6.16546566437829,0.000193048687594879,0.0115582767423827,0.0102036932300988,"Oas1g/Oas1a/Isg15/Irf7/Rigi",5
"GO:0032648","GO:0032648","regulation of interferon-beta production","5/171","72/23189",0.0694444444444444,9.41723521767381,6.16546566437829,0.000193048687594879,0.0115582767423827,0.0102036932300988,"Oas1g/Oas1a/Isg15/Irf7/Rigi",5
"GO:0045089","GO:0045089","positive regulation of innate immune response","11/171","401/23189",0.027431421446384,3.71992533286666,4.73556684283655,0.000201250773813103,0.0116587821298598,0.0102924197906966,"Oas1g/Oas1a/Irf7/Rigi/Trim12a/Trim12c/Gbp3/Gbp7/Lgals9/Irgm1/Pspc1",11
"GO:1901722","GO:1901722","regulation of cell proliferation involved in kidney development","3/171","16/23189",0.1875,25.4265350877193,8.42416055106465,0.000205601560276945,0.0116587821298598,0.0102924197906966,"Egr1/Itgb3/Il6ra",3
"GO:0044403","GO:0044403","biological process involved in symbiotic interaction","9/171","274/23189",0.0328467153284672,4.45428351901652,4.95757438605203,0.000207156754261901,0.0116587821298598,0.0102924197906966,"Trim12a/Itgb3/Trim12c/Gbp3/Ifitm3/Gbp7/Ctsb/Hmga2/Trim34a",9
"GO:0045824","GO:0045824","negative regulation of innate immune response","6/171","116/23189",0.0517241379310345,7.01421657592256,5.59695651917708,0.000223673015152182,0.0123414875419263,0.0108951148763498,"Oas1g/Oas1a/Isg15/Dusp10/Tgfb1/Lgals9",6
"GO:0032642","GO:0032642","regulation of chemokine production","6/171","117/23189",0.0512820512820513,6.95426600689759,5.56511893616268,0.000234340950393542,0.0124421780076873,0.0109840048248016,"Oas1g/Oas1a/Egr1/Il6ra/Tgfb1/Lgals9",6
"GO:0046718","GO:0046718","symbiont entry into host cell","6/171","117/23189",0.0512820512820513,6.95426600689759,5.56511893616268,0.000234340950393542,0.0124421780076873,0.0109840048248016,"Trim12a/Itgb3/Trim12c/Ifitm3/Ctsb/Trim34a",6
"GO:0044409","GO:0044409","symbiont entry into host","6/171","120/23189",0.05,6.78040935672515,5.47180663925086,0.000268765785217317,0.0140056836963246,0.012364273939822,"Trim12a/Itgb3/Trim12c/Ifitm3/Ctsb/Trim34a",6
"GO:0072109","GO:0072109","glomerular mesangium development","3/171","18/23189",0.166666666666667,22.6013645224172,7.90207155157789,0.000296358108288645,0.0151627584858954,0.013385744221267,"Egr1/Itgb3/Il6ra",3
"GO:0002062","GO:0002062","chondrocyte differentiation","6/171","126/23189",0.0476190476190476,6.45753272069062,5.29443510513747,0.000349475226704858,0.0173586377771094,0.0153242752979382,"Wnt9a/Ecm1/Tgfb1/Hmga2/Slc39a14/Ccn2",6
